Detailed Hydrocarbon Analysis Detail Report -                                             Report Date: 9/2/2020 11:16:10 AM

RawFile: C:\Chem32\2\DATA\090220A\081920B 2020-09-02 03-23-19\103F0301.D\103F0301.CDF     Acquired: 02-Sep-20, 07:13:34
Sample: 090220-002                                                                        Analyzed: 9/2/2020 11:16:10 AM
Processed 97 Peaks
Reference File: C:\Chem32\2\References\PONA VII_MASTER.DHA
Comments:                                                                                 Normalized to 100.0000%



 Hold

                                      Components Listed in Chromatographic Order                                  Page: 5
Minutes     Index      Group Component                          Mass %     Volume % Mol %           BP(F)       BP(C)      CAS
5.1114      397.7500 P4      n-butane                           0.0008     0.0011       0.0013      31.100       -0.500
6.9776      475.2200 I5      i-pentane                          0.0258     0.0303       0.0320      82.112       27.840
7.7558      495.0900 O5      2-methylbutene-1                   0.0003     0.0003       0.0004      88.070       31.150
7.9031      498.4200 P5      n-pentane                          0.0673     0.0781       0.0835      96.908       36.060
8.2240      508.1100 O5      2-methylbutadiene-1,3              0.0005     0.0006       0.0007      93.308       34.060
8.5153      517.0400 O5      3,3-dimethylbutene-1               0.0003     0.0003       0.0004      106.232      41.240
8.7006      522.4500 O5      2-methylbutene-2                   0.0017     0.0019       0.0022      101.408      38.560
9.2749      538.0300 I6      2,2-dimethylbutane                 0.1650     0.1848       0.1715      121.514      49.730
9.9933      555.4100 O5      cyclopentene                       0.0005     0.0005       0.0006      111.614      44.230
10.1956     559.9500         unknown                            0.0009     0.0009       0.0012      111.614      44.230
10.2365     560.8500 O6      4-methylpentene-1                  0.0015     0.0016       0.0016      128.948      53.860
10.4392     565.2300 N5      cyclopentane                       0.0802     0.0783       0.1025      120.650      49.250
10.5441     567.4500 I6      2,3-dimethylbutane                 0.4910     0.5395       0.5103      136.364      57.980
10.6244     569.1200         unknown                            0.0042     0.0044       0.0044      136.364      57.980
10.7766     572.2500 I6      2-methylpentane                    3.1111     3.4630       3.2335      140.468      60.260
10.8353     573.4300 O6      2,3-dimethylbutene-1               0.0290     0.0309       0.0309      132.098      55.610
11.1417     579.4700 O6      2-methyl-1,4-pentadiene            0.0003     0.0004       0.0004      132.800      56.000
11.3901     584.1900 I6      3-methylpentane                    4.1752     4.5691       4.3395      145.886      63.270
11.5750     587.6000         unknown                            0.0007     0.0008       0.0008      145.886      63.270
11.6116     588.2600 O6      2-methylpentene-1                  0.0207     0.0220       0.0220      143.780      62.100
11.6588     589.1200 O6      hexene-1                           0.0106     0.0114       0.0113      146.246      63.470
11.7867     591.4100         unknown                            0.0006     0.0006       0.0006      146.246      63.470
11.8200     592.0000         unknown                            0.0008     0.0008       0.0008      146.246      63.470
12.2723     599.7900 P6      n-hexane                           14.3652    15.8372      14.9306     155.714      68.730
12.3159     600.6900 O6      t-hexene-3                         0.0397     0.0423       0.0423      152.744      67.080
12.3497     601.4400 O6      c-hexene-3                         0.0258     0.0274       0.0274      151.592      66.440
12.4275     603.1500 O6      t-hexene-2                         0.0694     0.0739       0.0738      154.184      67.880
12.5372     605.5300 O6      2-methylpentene-2                  0.0915     0.0963       0.0974      153.140      67.300
12.6693     608.3600 O6      4-methylcyclopentene               0.0575     0.0548       0.0627      148.820      64.900
12.7306     609.6600 O6      O6-[1]                             0.0091     0.0095       0.0097      148.820      64.900
12.8669     612.5200 O6      3-methylcyclopentene               0.0342     0.0326       0.0372      149.000      65.000

