CLEANED !!!
Detailed Hydrocarbon Analysis Detail Report -                                             Report Date: 9/2/2020 11:16:10 AM

RawFile: C:\Chem32\2\DATA\090220A\081920B 2020-09-02 03-23-19\103F0301.D\103F0301.CDF     Acquired: 02-Sep-20, 07:13:34
Sample: 090220-002                                                                        Analyzed: 9/2/2020 11:16:10 AM
Processed 97 Peaks
Reference File: C:\Chem32\2\References\PONA VII_MASTER.DHA
Comments:                                                                                 Normalized to 100.0000%



 Hold

                                        Components Listed in Chromatographic Order                                Page: 6
Minutes     Index      Group Component                          Mass %     Volume % Mol %           BP(F)       BP(C)      CAS
13.1843     619.0100 O7      3,3-dimethylpentene-1              0.1051     0.1088       0.0959      171.446      77.470
13.3723     622.7600 I7      2,2-dimethylpentane                2.5122     2.7104       2.2455      174.542      79.190
13.4852     624.9700 N6      methylcyclopentane                 3.1721     3.0804       3.3759      161.240      71.800
13.7229     629.5500 I7      2,4-dimethylpentane                3.1104     3.3613       2.7803      176.882      80.490
13.8533     632.0200         unknown                            0.0013     0.0013       0.0012      176.882      80.490
13.8675     632.2900         unknown                            0.0022     0.0023       0.0020      176.882      80.490
13.8720     632.3700 O7      2,2,3-trimethylbutene-1            0.0007     0.0008       0.0007      172.202      77.890
13.9300     633.4600 I7      2,2,3-trimethylbutane              0.3617     0.3811       0.3233      177.584      80.880
14.1050     636.7000         unknown                            0.0075     0.0078       0.0067      177.584      80.880
14.3108     640.4400 O7      cyclic diolefin or triolefin-[2]   0.0063     0.0064       0.0068      32.000       0.000
14.3547     641.2200 O7      O7-[1]                             0.0026     0.0027       0.0028      32.000       0.000
14.5842     645.2900 O6      diolefin                           0.0233     0.0242       0.0254      32.000       0.000
14.7127     647.5300 O7      2,4-dimethylpentene-1              0.0420     0.0437       0.0383      178.880      81.600
14.9712     651.9700 A6      benzene                            25.1049    20.7651      28.7867     176.162      80.090
15.1152     654.3900 I7      3,3-dimethylpentane                2.3624     2.4775       2.1117      186.908      86.060
15.3194     657.7800 N6      cyclohexane                        0.4401     0.4109       0.4684      177.296      80.720
15.4742     660.3000 O7      2-methyl-t-hexene-3                0.0547     0.0572       0.0499      186.620      85.900
15.5892     662.1600 O6      diolefin (hexadiene)               0.0055     0.0057       0.0050      158.000      70.000
15.6589     663.2800 O7      2-ethyl-3-methylbutene-1           0.0230     0.0234       0.0210      187.448      86.360
16.0396     669.2600 I7      2-methylhexane                     14.7334    15.7835      13.1697     194.090      90.050
16.0990     670.1800 I7      2,3-dimethylpentane                2.6881     2.8113       2.4028      193.604      89.780
16.2292     672.1800 N7      1,1-dimethylcyclopentane           0.2713     0.2614       0.2475      189.464      87.480
16.3431     673.9100 O6      cyclohexene                        0.0200     0.0179       0.0218      181.346      82.970
16.5751     677.3800 I7      3-methylhexane                     12.5033    13.2288      11.1763     197.330      91.850
16.6928     679.1200 O7      3,4-dimethyl-c-pentene-2           0.0671     0.0679       0.0612      192.650      89.250
16.8767     681.8000 N7      1c,3-dimethylcyclopentane          0.3101     0.3027       0.2829      195.386      90.770
17.0379     684.1300 N7      1t,3-dimethylcyclopentane          0.2715     0.2636       0.2476      197.096      91.720
17.1333     685.4900 I7      3-ethylpentane                     0.9493     0.9886       0.8486      200.246      93.470
17.2280     686.8300 N7      1t,2-dimethylcyclopentane          0.3270     0.3164       0.2983      197.366      91.870
17.3130     688.0300 I8      2,2,4-trimethylpentane             0.0481     0.0505       0.0377      210.632      99.240
17.3568     688.6400 O7      heptene-1                          0.0310     0.0323       0.0283      200.552      93.640
 
